,Page total likes,Type,Category,Post Month,Post Weekday,Post Hour,Paid,Lifetime Post Total Reach,Lifetime Post Total Impressions,Lifetime Engaged Users,Lifetime Post Consumers,Lifetime Post Consumptions,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime People who have liked your Page and engaged with your post,comment,like,share,Total Interactions
18,138414,Status,3,12,2,3,0.0,3930,7509.0,130.0,86.0,112,5009.0,2410,101,4,54.0,17.0,75.0
19,138414,Photo,3,12,1,11,0.0,1591,2825.0,121.0,88.0,111,2116.0,1161,100,0,34.0,8.0,42.0
20,138414,Photo,2,12,1,3,0.0,2848,5066.0,200.0,142.0,184,3561.0,1963,157,3,66.0,12.0,81.0
21,138414,Photo,1,12,7,10,0.0,1384,2467.0,15.0,15.0,20,2196.0,1172,15,0,0.0,0.0,0.0
22,138414,Link,1,12,7,10,0.0,3454,6853.0,118.0,104.0,130,6282.0,3100,106,0,16.0,2.0,18.0
23,138414,Photo,3,12,7,3,0.0,2723,4888.0,176.0,118.0,143,2964.0,1621,143,0,72.0,24.0,96.0
24,138414,Status,2,12,6,10,0.0,8488,15294.0,1341.0,1270.0,1489,9684.0,5244,995,3,99.0,19.0,121.0
25,138458,Status,2,12,6,3,0.0,8284,15104.0,1521.0,1462.0,1711,10266.0,5372,1200,0,88.0,18.0,106.0
26,138458,Status,2,12,5,11,0.0,19552,34143.0,2806.0,2531.0,3420,17748.0,9824,1779,10,412.0,72.0,494.0
27,138458,Photo,3,12,5,3,0.0,2478,4306.0,212.0,124.0,149,2612.0,1443,166,0,100.0,17.0,117.0
28,138895,Photo,2,12,5,3,0.0,9560,18264.0,973.0,559.0,885,9217.0,4748,621,36,523.0,63.0,622.0
29,138895,Video,1,12,4,11,1.0,36208,61262.0,1141.0,1068.0,1728,30131.0,14112,559,18,143.0,13.0,174.0
30,138895,Photo,2,12,4,2,0.0,4940,9390.0,385.0,306.0,501,5860.0,2930,273,33,107.0,22.0,162.0
31,138895,Photo,2,12,3,10,0.0,1683,2929.0,192.0,171.0,221,1585.0,858,131,1,27.0,11.0,39.0
32,138895,Photo,3,12,3,3,0.0,5280,9578.0,368.0,237.0,345,4480.0,2422,268,2,155.0,47.0,204.0
33,138895,Photo,3,12,2,9,0.0,3002,5318.0,268.0,185.0,247,3039.0,1676,194,4,98.0,23.0,125.0
34,138895,Photo,1,12,2,3,0.0,3766,7149.0,298.0,260.0,431,5782.0,2938,244,2,56.0,17.0,75.0
35,138895,Photo,2,12,1,11,0.0,4512,7808.0,423.0,284.0,431,5183.0,2954,316,6,172.0,21.0,199.0
36,138895,Photo,3,12,1,3,0.0,2690,4628.0,252.0,168.0,226,3052.0,1727,199,0,96.0,17.0,113.0
37,138895,Photo,1,12,7,10,1.0,19800,28663.0,479.0,424.0,805,5187.0,2752,248,16,76.0,8.0,100.0
38,138895,Status,2,12,7,9,0.0,17576,33058.0,5352.0,5202.0,6547,23135.0,11792,4104,11,227.0,31.0,269.0
39,138895,Photo,1,12,7,3,0.0,3290,6085.0,306.0,284.0,402,4986.0,2584,247,1,44.0,14.0,59.0
40,138895,Status,2,12,6,11,0.0,13280,24198.0,2055.0,1912.0,2720,17627.0,9344,1716,7,216.0,39.0,262.0
41,138895,Link,1,12,6,3,1.0,18480,28438.0,517.0,366.0,460,12078.0,6752,319,6,187.0,18.0,211.0
42,138353,Photo,1,12,5,10,0.0,7268,13989.0,2087.0,2079.0,12074,13544.0,7096,1975,7,26.0,3.0,36.0
43,138353,Link,1,12,5,3,1.0,2645,4270.0,134.0,109.0,170,2330.0,1377,101,7,29.0,10.0,46.0
44,138353,Photo,1,12,4,11,0.0,4284,8387.0,355.0,316.0,513,7283.0,3634,291,0,47.0,11.0,58.0
45,138353,Link,1,12,4,3,1.0,7968,13023.0,206.0,158.0,223,6734.0,3492,138,4,57.0,10.0,71.0
46,138353,Status,1,12,3,11,0.0,16576,30612.0,3572.0,3464.0,4802,24363.0,12888,3014,4,174.0,36.0,214.0
47,138353,Link,1,12,3,2,0.0,1925,3481.0,97.0,83.0,126,2307.0,1180,77,6,18.0,8.0,32.0
48,138353,Photo,1,12,2,11,0.0,3786,7329.0,338.0,283.0,450,6336.0,3216,280,0,77.0,15.0,92.0
49,138353,Link,1,12,2,2,0.0,1536,3094.0,84.0,76.0,99,2903.0,1407,76,1,12.0,1.0,14.0
50,138353,Photo,2,11,1,9,0.0,1728,3155.0,108.0,65.0,95,2313.0,1232,77,1,48.0,9.0,58.0
51,138329,Photo,1,11,1,3,1.0,25248,40125.0,726.0,467.0,863,16132.0,8608,451,24,285.0,28.0,337.0
52,138329,Photo,1,11,7,9,0.0,4894,8899.0,355.0,181.0,264,4914.0,2712,246,9,202.0,31.0,242.0
53,138329,Photo,1,11,7,3,0.0,2935,5439.0,237.0,182.0,401,3901.0,2044,201,4,64.0,19.0,87.0
54,138329,Photo,1,11,6,10,0.0,2425,4462.0,260.0,213.0,433,3017.0,1510,175,4,66.0,13.0,83.0
55,138329,Video,1,11,6,2,1.0,16416,31950.0,459.0,411.0,539,21436.0,9568,363,2,65.0,14.0,81.0
56,138329,Photo,1,11,5,11,0.0,5812,10465.0,343.0,204.0,301,4976.0,2764,240,2,164.0,54.0,220.0
57,138329,Photo,1,11,5,3,0.0,2545,4846.0,165.0,131.0,167,3675.0,1901,134,0,40.0,13.0,53.0
58,138329,Photo,1,11,4,10,0.0,2257,4372.0,230.0,173.0,327,3188.0,1557,168,3,76.0,11.0,90.0
59,138329,Photo,1,11,4,3,1.0,27072,84885.0,421.0,304.0,487,35637.0,9712,263,4,139.0,17.0,160.0
60,138185,Photo,1,11,3,11,1.0,10940,27951.0,417.0,335.0,591,15066.0,5100,319,8,101.0,14.0,123.0
61,138185,Photo,1,11,3,2,1.0,50912,164528.0,630.0,513.0,952,54653.0,12704,346,8,144.0,10.0,162.0
62,138185,Photo,1,11,2,10,1.0,28752,47358.0,802.0,654.0,1268,14091.0,7456,408,10,179.0,13.0,202.0
63,138185,Photo,1,11,2,3,1.0,27216,81908.0,541.0,335.0,540,26869.0,7760,315,4,219.0,22.0,245.0
64,138185,Photo,1,11,1,10,0.0,2352,5234.0,232.0,182.0,258,4101.0,1761,181,2,60.0,7.0,69.0
65,138185,Photo,1,11,1,3,0.0,3416,6167.0,356.0,298.0,641,4530.0,2388,280,19,77.0,23.0,119.0
66,138185,Photo,1,11,7,11,0.0,2149,4120.0,197.0,156.0,219,3302.0,1640,161,0,48.0,7.0,55.0
67,138185,Photo,1,11,7,3,1.0,53456,93790.0,1576.0,995.0,1469,32646.0,14912,884,20,697.0,70.0,787.0
68,138185,Photo,1,11,6,11,0.0,2168,3891.0,211.0,168.0,202,2873.0,1539,171,0,53.0,17.0,70.0
69,137893,Photo,1,11,6,3,0.0,3102,5939.0,360.0,288.0,512,3537.0,1780,275,7,84.0,28.0,119.0
70,137893,Photo,1,11,5,10,1.0,39344,103050.0,588.0,460.0,695,39304.0,11392,336,7,146.0,9.0,162.0
71,137893,Video,1,11,5,3,1.0,100768,220447.0,2101.0,1735.0,2331,59658.0,18880,885,17,449.0,84.0,550.0
72,137893,Status,3,11,4,11,0.0,9056,16362.0,1006.0,847.0,1153,9562.0,5180,740,3,226.0,44.0,273.0
73,137893,Photo,1,11,4,2,1.0,11444,46054.0,555.0,418.0,717,13737.0,4320,438,14,172.0,47.0,233.0
74,137893,Video,1,11,3,11,0.0,13544,30235.0,517.0,458.0,667,26622.0,11760,447,2,99.0,13.0,114.0
75,137893,Photo,1,11,3,2,1.0,37376,68610.0,1150.0,808.0,1341,22100.0,10880,724,20,411.0,74.0,505.0
76,137893,Photo,1,11,3,2,0.0,1228,2392.0,17.0,17.0,19,2392.0,1228,17,0,0.0,0.0,0.0
77,137177,Photo,1,11,1,10,0.0,22984,59040.0,438.0,374.0,542,12716.0,4968,262,4,85.0,8.0,97.0
78,137177,Photo,2,11,1,3,0.0,1445,2774.0,217.0,167.0,211,1924.0,1005,154,0,56.0,8.0,64.0
79,137177,Photo,1,11,7,12,0.0,3754,8533.0,658.0,640.0,2085,6838.0,3224,598,2,29.0,7.0,38.0
80,137177,Status,2,11,7,3,0.0,8728,17827.0,2295.0,2235.0,2828,15418.0,7344,2099,2,86.0,13.0,101.0
81,137177,Photo,3,11,6,10,0.0,5990,11123.0,657.0,361.0,512,5057.0,2628,428,18,370.0,53.0,441.0
82,137177,Photo,1,11,6,3,0.0,4582,9193.0,454.0,306.0,431,3691.0,1722,305,5,190.0,57.0,252.0
83,137177,Photo,3,11,5,10,1.0,2938,5799.0,321.0,243.0,379,3668.0,1848,236,2,101.0,19.0,122.0
84,137177,Status,3,11,5,2,0.0,6692,13092.0,199.0,108.0,141,7549.0,3336,156,2,99.0,16.0,117.0
85,137177,Photo,1,11,4,9,1.0,2566,5244.0,384.0,280.0,469,3834.0,1806,266,10,140.0,8.0,158.0
86,137177,Link,1,11,4,3,0.0,21176,54779.0,330.0,228.0,329,13858.0,5248,185,2,130.0,31.0,163.0
87,137177,Photo,3,11,3,10,0.0,4012,7955.0,550.0,319.0,477,4625.0,2218,403,3,270.0,38.0,311.0
88,137177,Photo,1,11,3,3,0.0,1531,2838.0,212.0,189.0,1359,1210.0,690,143,3,30.0,6.0,39.0
89,137059,Photo,1,11,2,11,1.0,2938,6056.0,374.0,283.0,483,4509.0,2078,287,2,107.0,17.0,126.0
90,137059,Photo,1,11,2,3,0.0,24720,37240.0,845.0,564.0,850,14475.0,8120,504,13,331.0,77.0,421.0
91,137059,Photo,2,11,1,9,0.0,2219,4545.0,287.0,220.0,329,3189.0,1495,221,0,78.0,13.0,91.0
92,137059,Photo,3,11,1,3,0.0,4732,9303.0,607.0,352.0,518,6201.0,3136,445,9,301.0,32.0,342.0
93,137059,Photo,3,11,7,9,0.0,2225,4239.0,310.0,216.0,289,2570.0,1389,233,2,111.0,16.0,129.0
94,137059,Photo,2,11,7,4,0.0,2626,4943.0,316.0,213.0,299,3047.0,1605,244,2,124.0,22.0,148.0
95,137059,Photo,3,10,6,10,0.0,3090,5744.0,391.0,257.0,360,3521.0,1796,293,5,153.0,27.0,185.0
96,137059,Photo,1,10,6,3,0.0,1101,2548.0,324.0,287.0,2418,1284.0,704,220,3,51.0,11.0,65.0
97,137059,Photo,2,10,5,11,0.0,2819,5230.0,318.0,218.0,303,3128.0,1622,240,1,115.0,26.0,142.0
98,137020,Status,2,10,5,3,1.0,12468,24917.0,2143.0,1966.0,2576,15850.0,7636,1661,7,310.0,61.0,378.0
99,137020,Photo,1,10,4,10,0.0,12776,21893.0,785.0,539.0,881,13272.0,7800,575,12,328.0,90.0,430.0
100,137020,Photo,1,10,4,9,1.0,1357,2453.0,37.0,37.0,55,2154.0,1120,32,0,0.0,0.0,0.0
101,137020,Photo,2,10,4,3,0.0,68896,104952.0,2624.0,1326.0,1952,35707.0,19840,1354,26,1505.0,95.0,1626.0
102,137020,Photo,3,10,3,10,0.0,1711,3174.0,288.0,245.0,339,2226.0,1118,205,2,63.0,14.0,79.0
103,137020,Photo,1,10,3,4,0.0,1388,2544.0,224.0,219.0,931,2161.0,1214,172,0,13.0,4.0,17.0
104,137020,Photo,1,10,2,11,1.0,2645,5472.0,357.0,315.0,482,4485.0,2101,265,4,59.0,9.0,72.0
105,137020,Photo,1,10,2,4,0.0,70144,111745.0,3216.0,2628.0,4782,43671.0,20608,1542,42,955.0,139.0,1136.0
106,137020,Photo,3,10,1,11,0.0,3674,7221.0,452.0,330.0,487,3832.0,1890,328,9,181.0,32.0,222.0
107,136736,Status,2,10,1,4,0.0,9504,19556.0,1132.0,1032.0,1512,16018.0,7616,981,17,193.0,28.0,238.0
108,136736,Photo,3,10,7,9,0.0,2426,4469.0,320.0,237.0,325,3120.0,1684,248,7,125.0,16.0,148.0
109,136736,Status,2,10,7,3,0.0,13872,27468.0,2664.0,2570.0,3395,20198.0,10432,2252,4,217.0,50.0,271.0
110,136736,Photo,1,10,6,10,0.0,1673,3655.0,338.0,324.0,1619,2598.0,1469,268,2,28.0,4.0,34.0
112,136736,Photo,2,10,6,4,0.0,2428,4510.0,311.0,238.0,323,2888.0,1560,236,4,117.0,18.0,139.0
113,136642,Photo,2,10,1,3,1.0,2227,4070.0,369.0,314.0,430,3227.0,1702,306,2,79.0,16.0,97.0
114,136642,Photo,1,10,7,13,0.0,1592,2749.0,370.0,356.0,414,2551.0,1454,327,0,15.0,2.0,17.0
115,136642,Photo,1,10,7,12,1.0,813,1568.0,323.0,319.0,387,1402.0,695,280,0,4.0,2.0,6.0
116,136642,Photo,1,10,7,12,0.0,32208,57472.0,1810.0,1490.0,2286,56149.0,31648,1724,1,431.0,26.0,458.0
117,136642,Photo,1,10,7,11,0.0,729,1374.0,303.0,298.0,331,1284.0,650,262,0,7.0,0.0,7.0
118,136642,Photo,1,10,7,10,0.0,834,1570.0,399.0,392.0,510,1390.0,704,351,0,7.0,2.0,9.0
119,136393,Photo,1,10,7,10,0.0,786,1573.0,263.0,257.0,318,1401.0,660,222,0,6.0,2.0,8.0
121,136393,Status,2,10,7,9,0.0,15816,30514.0,2733.0,2654.0,3289,23584.0,11912,2361,6,186.0,40.0,232.0
122,136393,Photo,1,10,7,8,0.0,619,1096.0,257.0,254.0,292,951.0,516,217,1,1.0,2.0,4.0
123,136393,Photo,1,10,7,7,0.0,617,1071.0,229.0,223.0,265,935.0,521,191,1,3.0,2.0,6.0
125,136393,Photo,1,10,7,5,0.0,677,1240.0,236.0,228.0,264,1098.0,580,196,0,7.0,2.0,9.0
126,136393,Photo,3,10,7,3,0.0,3366,6647.0,474.0,345.0,495,3180.0,1674,385,3,198.0,41.0,242.0
127,136393,Photo,1,10,6,13,0.0,747,1443.0,226.0,220.0,287,1252.0,632,194,0,9.0,1.0,10.0
128,136393,Photo,1,10,6,13,0.0,645,1117.0,195.0,192.0,224,989.0,554,166,0,4.0,1.0,5.0
129,136393,Photo,1,10,6,12,0.0,754,1510.0,206.0,205.0,252,1430.0,690,175,0,3.0,0.0,3.0
130,136393,Photo,1,10,6,11,0.0,910,1673.0,207.0,201.0,247,1503.0,782,176,0,8.0,2.0,10.0
131,136393,Photo,1,10,6,9,0.0,3906,8239.0,868.0,863.0,2632,7736.0,3768,774,0,7.0,3.0,10.0
132,136393,Photo,1,10,6,9,0.0,659,1158.0,199.0,194.0,239,1041.0,576,169,1,7.0,2.0,10.0
133,136393,Photo,1,10,6,8,0.0,652,1331.0,214.0,206.0,249,1249.0,588,182,0,11.0,1.0,12.0
134,136393,Photo,1,10,6,6,0.0,861,1565.0,214.0,192.0,239,1351.0,717,180,2,28.0,4.0,34.0
135,136393,Photo,1,10,6,2,0.0,3690,7659.0,424.0,388.0,644,6951.0,3290,377,0,56.0,12.0,68.0
136,136393,Link,1,10,5,10,0.0,4664,9463.0,204.0,182.0,251,7196.0,3324,173,0,32.0,16.0,48.0
137,136013,Photo,1,10,5,8,0.0,1080,2427.0,210.0,189.0,249,2195.0,934,184,4,32.0,3.0,39.0
138,136013,Status,2,10,5,3,0.0,8896,17202.0,1480.0,1426.0,1932,13838.0,7020,1292,0,129.0,25.0,154.0
139,136013,Photo,1,10,4,10,1.0,4018,8617.0,428.0,374.0,616,6677.0,2992,351,4,77.0,19.0,100.0
140,136013,Link,1,10,4,3,0.0,68992,229733.0,1032.0,975.0,1345,17842.0,8032,635,15,143.0,44.0,202.0
141,136013,Status,3,10,3,10,0.0,13152,25666.0,2543.0,2438.0,3179,20547.0,10280,2278,2,227.0,36.0,265.0
143,136013,Photo,3,10,2,10,1.0,16776,39549.0,714.0,440.0,720,11860.0,6200,590,10,377.0,60.0,447.0
144,136013,Photo,1,10,2,3,1.0,50736,140432.0,1462.0,1450.0,8308,46252.0,15552,1275,3,41.0,9.0,53.0
145,136013,Photo,1,10,1,10,1.0,5324,11040.0,528.0,483.0,861,8627.0,4054,448,6,76.0,14.0,96.0
146,136013,Photo,3,10,1,3,0.0,18120,44940.0,421.0,282.0,463,4401.0,2616,327,0,189.0,15.0,204.0
147,135713,Photo,3,10,7,10,0.0,2291,3960.0,303.0,243.0,325,3020.0,1723,253,0,80.0,14.0,94.0
148,135713,Status,2,10,7,4,0.0,10744,20691.0,1967.0,1877.0,2201,17502.0,8964,1834,3,148.0,28.0,179.0
149,135713,Link,1,10,6,11,1.0,3616,6887.0,111.0,90.0,118,4263.0,2138,93,0,24.0,11.0,35.0
150,135713,Photo,1,10,6,4,0.0,39984,112830.0,2105.0,1921.0,3932,70249.0,21328,1609,24,302.0,41.0,367.0
151,135713,Photo,2,10,5,11,0.0,4010,7444.0,477.0,370.0,534,4406.0,2362,354,2,166.0,32.0,200.0
152,135713,Photo,2,10,5,4,1.0,6564,12097.0,806.0,602.0,957,7682.0,4024,563,47,358.0,49.0,454.0
153,135713,Photo,1,10,4,10,0.0,8612,20151.0,813.0,727.0,1390,16890.0,7208,630,7,161.0,25.0,193.0
154,135713,Photo,2,10,4,1,0.0,5568,10282.0,746.0,545.0,867,5696.0,3162,537,13,319.0,55.0,387.0
155,135700,Photo,2,9,3,7,0.0,1685,2999.0,322.0,295.0,424,1794.0,953,237,0,54.0,16.0,70.0
156,135700,Photo,2,9,2,11,0.0,3756,7094.0,469.0,408.0,613,4935.0,2556,365,16,117.0,30.0,163.0
157,135700,Photo,3,9,2,2,0.0,2656,4862.0,390.0,309.0,445,3273.0,1722,309,1,115.0,21.0,137.0
158,135700,Photo,2,9,1,10,0.0,5086,9493.0,622.0,509.0,757,6200.0,3298,489,30,187.0,35.0,252.0
159,135617,Photo,2,9,1,3,1.0,2055,3915.0,346.0,288.0,412,2970.0,1507,277,1,84.0,13.0,98.0
160,135617,Photo,3,9,7,9,0.0,9384,14948.0,757.0,452.0,652,11148.0,7020,604,6,363.0,40.0,409.0
161,135617,Photo,2,9,7,3,0.0,3992,7255.0,598.0,447.0,688,4428.0,2420,435,6,244.0,32.0,282.0
162,135617,Photo,3,9,6,10,0.0,7512,13633.0,769.0,614.0,951,5503.0,3260,530,22,290.0,98.0,410.0
163,135617,Status,2,9,6,4,0.0,11096,21080.0,1843.0,1724.0,2106,16095.0,8120,1604,4,243.0,41.0,288.0
165,135428,Photo,2,9,5,3,1.0,2790,4879.0,435.0,360.0,513,3501.0,1999,351,0,113.0,19.0,132.0
166,135428,Photo,1,9,4,10,1.0,13856,37716.0,519.0,450.0,672,26832.0,9064,389,2,77.0,5.0,84.0
167,135428,Photo,3,9,4,2,1.0,10748,19724.0,892.0,498.0,719,13674.0,7624,704,8,485.0,64.0,557.0
168,135428,Photo,1,9,3,10,0.0,41984,68290.0,3370.0,2420.0,4074,34802.0,20928,2126,144,1622.0,208.0,1974.0
169,135428,Photo,2,9,3,2,1.0,2522,4583.0,455.0,390.0,547,3031.0,1674,333,6,99.0,16.0,121.0
170,135195,Photo,3,9,2,9,0.0,4480,8039.0,572.0,430.0,599,5014.0,2704,416,3,188.0,26.0,217.0
171,135195,Photo,1,9,2,2,0.0,1543,2874.0,360.0,334.0,463,2373.0,1228,267,2,30.0,6.0,38.0
172,135195,Status,2,9,1,10,0.0,21256,41906.0,4840.0,4754.0,5906,35455.0,17592,4318,38,163.0,27.0,228.0
173,135195,Photo,1,9,1,4,0.0,4484,7829.0,545.0,424.0,629,4208.0,2412,382,6,179.0,40.0,225.0
174,135195,Photo,2,9,7,3,0.0,4398,8105.0,584.0,446.0,669,4799.0,2616,431,5,204.0,34.0,243.0
175,135195,Status,2,9,6,10,1.0,13216,24738.0,2675.0,2584.0,2969,19599.0,10232,2342,2,165.0,22.0,189.0
176,135195,Photo,3,9,6,3,1.0,22304,37159.0,1805.0,984.0,1618,22864.0,13304,1349,29,1047.0,98.0,1174.0
177,135195,Photo,1,9,5,11,0.0,6208,10830.0,644.0,473.0,678,6866.0,4016,495,2,234.0,40.0,276.0
178,135195,Photo,2,9,5,2,0.0,4518,8533.0,626.0,482.0,729,4215.0,2254,439,7,250.0,42.0,299.0
179,135195,Photo,2,9,4,10,0.0,3582,6518.0,537.0,430.0,597,3857.0,2124,404,4,154.0,36.0,194.0
180,134879,Status,2,9,4,4,1.0,9124,17776.0,1476.0,1397.0,1797,13887.0,7092,1331,20,150.0,29.0,199.0
181,134879,Photo,1,9,3,10,0.0,14152,38806.0,631.0,549.0,836,19409.0,6632,404,4,102.0,8.0,114.0
182,134879,Photo,3,9,3,2,1.0,4260,7989.0,588.0,435.0,622,4578.0,2432,436,1,226.0,44.0,271.0
183,134879,Video,1,9,2,10,0.0,30624,56950.0,2080.0,1956.0,3253,32033.0,15744,1376,6,345.0,121.0,472.0
184,134879,Photo,2,9,2,3,0.0,2363,4223.0,393.0,348.0,476,3332.0,1788,297,11,68.0,11.0,90.0
185,134879,Photo,1,9,1,10,0.0,2232,4005.0,374.0,335.0,458,3247.0,1740,278,0,62.0,10.0,72.0
186,134879,Photo,2,9,1,6,0.0,4048,7217.0,544.0,405.0,602,4046.0,2280,368,5,223.0,35.0,263.0
187,134879,Photo,2,9,7,10,0.0,1804,2968.0,330.0,280.0,352,2293.0,1354,234,0,61.0,6.0,67.0
188,134879,Photo,3,9,7,4,1.0,2351,4028.0,371.0,298.0,392,3112.0,1791,288,1,104.0,12.0,117.0
189,133679,Photo,2,9,2,10,0.0,3100,5388.0,518.0,422.0,609,3927.0,2274,367,3,146.0,15.0,164.0
190,133679,Photo,3,9,2,3,1.0,2360,4004.0,436.0,365.0,486,2757.0,1603,300,2,102.0,15.0,119.0
191,133679,Photo,3,8,1,10,0.0,19648,33643.0,1359.0,695.0,990,24034.0,13528,1020,9,766.0,43.0,818.0
192,133679,Photo,2,8,1,4,0.0,2295,3721.0,377.0,324.0,402,3121.0,1882,269,0,63.0,7.0,70.0
193,133594,Photo,2,8,7,10,1.0,3934,6330.0,512.0,437.0,599,5010.0,3082,384,3,113.0,17.0,133.0
194,133594,Photo,1,8,7,3,0.0,34512,76659.0,1666.0,1333.0,1977,54860.0,22816,1278,6,442.0,42.0,490.0
195,133594,Photo,2,8,6,10,0.0,5282,8730.0,703.0,530.0,772,5123.0,3244,470,9,278.0,43.0,330.0
196,133594,Photo,1,8,6,8,0.0,1809,3130.0,399.0,359.0,494,2541.0,1435,289,2,64.0,7.0,73.0
197,133594,Photo,2,8,5,13,0.0,1920,3124.0,365.0,331.0,428,2541.0,1519,251,1,52.0,7.0,60.0
198,133451,Photo,1,8,4,9,1.0,1954,3530.0,356.0,333.0,443,3295.0,1772,252,0,30.0,2.0,32.0
199,132817,Photo,3,8,4,10,0.0,33536,64850.0,1954.0,1016.0,1678,50076.0,24448,1564,33,1155.0,102.0,1290.0
200,132817,Photo,2,8,4,3,1.0,4204,7191.0,498.0,408.0,596,5161.0,2974,387,2,139.0,25.0,166.0
201,132817,Photo,1,8,3,9,0.0,3376,6557.0,428.0,409.0,631,5700.0,2806,331,0,40.0,5.0,45.0
202,132817,Status,2,8,3,2,1.0,9236,16054.0,1151.0,1130.0,1560,14014.0,7880,1075,2,53.0,15.0,70.0
203,132817,Photo,3,8,2,10,0.0,72864,205934.0,946.0,759.0,1158,122474.0,30912,646,4,220.0,19.0,243.0
204,132817,Photo,3,8,2,3,0.0,3358,5682.0,394.0,323.0,523,4200.0,2426,298,2,114.0,16.0,132.0
205,132201,Photo,1,8,1,12,1.0,3254,5644.0,371.0,344.0,513,5069.0,2846,283,0,39.0,3.0,42.0
206,132201,Photo,1,8,1,3,0.0,50640,121234.0,2240.0,1577.0,2779,92348.0,34880,1790,4,859.0,68.0,931.0
207,132201,Photo,2,8,7,10,0.0,3734,6218.0,529.0,434.0,794,4831.0,2868,389,5,137.0,20.0,162.0
208,132201,Photo,3,8,7,3,0.0,2594,4220.0,347.0,315.0,529,3418.0,2067,248,1,54.0,11.0,66.0
209,132201,Photo,2,8,6,10,1.0,2232,3772.0,376.0,322.0,440,2205.0,1306,257,2,74.0,22.0,98.0
210,132201,Photo,3,8,6,3,1.0,22120,54734.0,979.0,906.0,1751,46700.0,17528,796,6,98.0,3.0,107.0
211,132201,Photo,3,8,5,10,0.0,7980,12978.0,630.0,398.0,521,9342.0,5372,467,2,264.0,21.0,287.0
212,132201,Photo,2,8,5,1,0.0,1659,2845.0,345.0,321.0,424,1604.0,915,239,3,36.0,11.0,50.0
213,132201,Photo,3,8,4,11,1.0,1006,1594.0,277.0,268.0,354,1055.0,651,187,1,11.0,3.0,15.0
214,132201,Photo,3,8,4,3,1.0,12728,21685.0,844.0,461.0,683,15779.0,8844,657,4,435.0,31.0,470.0
215,131956,Photo,1,8,3,10,0.0,28880,64746.0,1062.0,991.0,1971,40181.0,15808,740,2,114.0,10.0,126.0
216,131956,Photo,2,8,3,4,0.0,1330,2327.0,363.0,351.0,433,1475.0,827,230,2,17.0,9.0,28.0
217,131956,Status,2,8,2,12,0.0,14424,26000.0,304.0,286.0,383,25539.0,14056,291,41,15.0,1.0,57.0
218,131956,Photo,1,8,2,7,0.0,14200,26728.0,1393.0,1354.0,3214,25610.0,13376,1233,3,87.0,10.0,100.0
219,131956,Photo,3,8,1,12,0.0,5746,9874.0,769.0,632.0,1063,7407.0,4288,584,16,227.0,28.0,271.0
220,131956,Photo,2,8,1,4,0.0,2540,4372.0,389.0,330.0,458,3655.0,2063,279,2,86.0,8.0,96.0
